Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,3776,2,8384,"_CorExeMain",86.10,"8,772.75","1,89,42,06,939","8,686.65",
0,3776,4,8520,"[wpfgfx_v0400.dll]",273.29,"8,766.62","1,73,41,95,006","8,493.32",
